289;Corimbatá, assado;4,8;6,4;2,6;;0,51;3,25;0,83;;;;289;;2,91;3,22;0,26;0,43;0,17;0,16;0,84;0,33;0,26;;NA
290;Corimbatá, cozido;4,5;6,5;2,3;;0,52;3,15;0,68;;;;290;;3,12;3,11;0,24;0,21;0,17;0,16;0,89;0,36;0,29;;NA
291;Corvina de água doce, crua;1,2;0,7;0,1;;0,04;0,75;0,26;0,01;0,01;0,01;291;;0,18;0,49;Tr;0,04;0,03;0,02;0,01;Tr;Tr;0,01;NA
292;Corvina do mar, crua;0,7;0,5;0,1;;0,05;0,46;0,13;0,01;Tr;0,01;292;;0,20;0,27;0,02;0,01;0,02;0,02;0,03;0,03;0,04;0,01;NA
293;Corvina grande, assada;1,5;1,2;0,3;;0,12;0,99;0,32;0,02;0,01;Tr;293;0,01;0,42;0,69;0,03;0,03;;0,04;0,05;0,04;0,05;0,02;NA
294;Corvina grande, cozida;0,7;0,6;0,6;;0,06;0,49;0,17;;;;294;;0,23;0,33;0,03;0,02;0,01;0,09;0,17;0,10;0,20;0,01;NA
295;Dourada de água doce, fresca;3,0;1,4;0,4;0,01;0,19;1,85;0,66;0,03;0,05;0,04;295;;0,29;1,05;0,07;0,14;;0,06;0,02;0,03;0,04;0,02;NA
296;Lambari, congelado, cru;2,0;2,2;1,2;0,02;0,16;1,24;0,47;0,02;0,04;;296;;0,34;1,82;0,02;0,49;0,17;0,21;0,13;0,06;0,18;0,01;NA
297;Lambari, congelado, frito;5,5;7,0;8,1;;0,22;3,40;1,39;0,09;0,12;0,04;297;0,04;0,02;6,72;0,11;6,43;0,78;0,34;0,03;0,08;0,23;0,04;0,06
298;Lambari, fresco,cru;3,4;3,3;1,1;0,03;0,15;2,11;0,88;0,04;0,03;0,04;298;;0,39;2,84;0,05;0,57;;0,12;0,10;0,05;0,12;0,08;0,02
299;Manjuba, com farinha de trigo, frita;5,5;5,4;10,4;;0,28;3,74;1,08;0,09;0,11;0,04;299;;0,30;4,90;0,09;7,53;0,84;0,09;0,44;0,17;1,16;;0,04
300;Manjuba, frita;5,3;6,0;11,7;;0,21;3,59;1,17;0,09;0,13;0,06;300;;0,23;5,53;0,15;8,92;0,87;0,08;0,35;0,14;1,13;;NA
301;Merluza, filé, assado;0,2;0,1;0,3;;;0,12;0,06;;;Tr;301;;Tr;0,10;Tr;0,02;;0,02;0,03;Tr;0,23;;NA
302;Merluza, filé, cru;0,9;0,5;0,4;;0,17;0,59;0,08;Tr;;0,02;302;;0,15;0,35;Tr;0,03;0,05;0,02;0,03;0,02;0,11;;NA
303;Merluza, filé, frito;1,4;2,1;4,3;;0,08;1,03;0,26;;0,03;;303;;0,14;1,77;0,10;3,07;0,36;;0,19;Tr;0,60;;NA
304;Pescada, branca, crua;0,8;2,4;0,9;;0,04;0,40;0,22;0,02;0,01;0,01;304;;0,75;1,61;Tr;0,04;0,05;0,05;0,18;0,13;0,43;0,01;NA
305;Pescada, branca, frita;2,3;3,2;5,2;;0,14;1,55;0,48;0,04;0,05;0,02;305;;0,16;2,78;0,19;4,21;0,41;0,02;0,01;0,03;0,45;0,01;0,06
